Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_piezometrico,precip_mm,temp_C
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2005,28.29,175.53,23.24
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2006,28.9,197.03,24.06
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2007,28.2,180.56,23.37
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2008,28.44,184.97,23.83
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2009,28.25,254.98,23.9
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2010,28.5,111.93,23.15
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2011,28.91,90.29,23.87
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2012,,348.92,23.82
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2013,28.25,189.53,23.79
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2014,,426.42,24.94
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2015,,270.81,25.04
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2016,,267.72,24.68
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2017,,205.95,24.52
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2018,,308.82,24.61
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2019,,445.63,23.94
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2020,,107.63,24.36
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2021,,342.8,24.35
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2022,,243.31,24.01
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2023,,396.31,24.49
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2024,,60.41,24.3
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2025,,,
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,1996,29.65,188.64,23.93
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,1997,,270.67,24.02
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,1998,,337.99,23.9
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,1999,28.28,55.93,23.57
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2000,28.69,82.23,23.72
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2001,,316.65,23.32
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2002,28.73,130.81,23.39
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2003,36.92,377.61,23.54
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2004,28.12,218.6,23.27
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2005,28.05,175.53,23.24
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2006,27.6,197.03,24.06
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2007,28.0,180.56,23.37
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2008,27.91,184.97,23.83
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2009,32.57,254.98,23.9
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2010,28.32,111.93,23.15
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2011,30.6,90.29,23.87
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2012,29.28,348.92,23.82
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2013,32.57,189.53,23.79
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2014,34.1,426.42,24.94
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2015,,270.81,25.04
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2016,25.97,267.72,24.68
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2017,,205.95,24.52
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2018,,308.82,24.61
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2019,,445.63,23.94
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2020,,107.63,24.36
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2021,,342.8,24.35
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2022,39.53,243.31,24.01
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2023,,396.31,24.49
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2024,,60.41,24.3
141,Baja California Sur,LA PAZ,27.0,24.085097,-110.332044,2025,,,
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,1996,36.66,188.64,23.93
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,1997,36.87,270.67,24.02
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,1998,,337.99,23.9
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,1999,36.49,55.93,23.57
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2000,36.95,82.23,23.72
